1554911931964.9 -0.13 -1.08 0.43 0.12 0.13 0.12 63 0.759 0.036 -10.221 0.472 -0.026 -0.796 -0.071 0.223 -0.405 990.09 515
1554911932014.9 -0.12 -1.09 0.42 0.11 0.12 0.12 63 0.726 0.024 -10.238 0.630 -0.035 -0.752 -0.070 0.223 -0.408 990.10 515
1554911932081.8 -0.11 -1.07 0.43 0.12 0.13 0.12 63 0.760 0.020 -10.239 0.578 0.184 -0.682 -0.070 0.223 -0.406 990.09 515
1554911932131.8 -0.11 -1.08 0.43 0.11 0.13 0.12 63 0.786 0.042 -10.256 0.709 -0.052 -0.980 -0.067 0.222 -0.408 990.15 515
1554911932202.2 -0.11 -1.08 0.43 0.12 0.13 0.13 63 0.786 0.042 -10.256 0.709 -0.052 -0.980 -0.067 0.222 -0.408 990.15 515
1554911932252.2 -0.12 -1.08 0.42 0.11 0.13 0.12 63 0.765 0.037 -10.251 0.700 -0.088 -1.006 -0.071 0.224 -0.406 990.08 515
1554911932320.1 -0.12 -1.08 0.42 0.12 0.14 0.13 63 0.765 0.037 -10.251 0.700 -0.088 -1.006 -0.071 0.224 -0.406 990.08 515
1554911932370.1 -0.11 -1.09 0.41 0.11 0.13 0.12 63 0.736 0.032 -10.238 0.551 -0.044 -1.015 -0.070 0.221 -0.408 990.09 515
1554911932455.7 -0.11 -1.09 0.41 0.13 0.14 0.13 63 0.736 0.032 -10.238 0.551 -0.044 -1.015 -0.070 0.221 -0.408 990.09 515
1554911932505.7 -0.11 -1.08 0.41 0.11 0.13 0.13 63 0.767 0.039 -10.211 0.718 0.035 -0.927 -0.069 0.222 -0.405 990.12 515
1554911932572.8 -0.11 -1.09 0.41 0.12 0.13 0.13 63 0.767 0.039 -10.211 0.718 0.035 -0.927 -0.069 0.222 -0.405 990.12 515
1554911932622.8 -0.13 -1.09 0.41 0.11 0.13 0.12 63 0.748 0.049 -10.233 0.656 0.079 -0.927 -0.068 0.222 -0.405 990.10 515
1554911932697.3 -0.13 -1.09 0.41 0.13 0.14 0.13 63 0.748 0.049 -10.233 0.656 0.079 -0.927 -0.068 0.222 -0.405 990.10 515
1554911932747.3 -0.11 -1.08 0.40 0.12 0.12 0.12 63 0.742 0.039 -10.232 0.656 -0.052 -0.936 -0.070 0.222 -0.406 990.12 515
1554911932817.2 -0.11 -1.08 0.40 0.13 0.14 0.13 63 0.742 0.039 -10.232 0.656 -0.052 -0.936 -0.070 0.222 -0.406 990.12 515
1554911932867.2 -0.12 -1.08 0.40 0.11 0.13 0.12 63 0.760 0.030 -10.240 0.595 0.044 -0.700 -0.070 0.223 -0.406 990.08 515
1554911932939.6 -0.12 -1.08 0.40 0.12 0.13 0.13 63 0.760 0.030 -10.240 0.595 0.044 -0.700 -0.070 0.223 -0.406 990.08 515
1554911932989.6 -0.14 -1.06 0.40 0.11 0.13 0.12 63 0.731 0.020 -10.234 0.595 -0.122 -0.726 -0.070 0.222 -0.406 990.08 515
1554911933055.4 -0.14 -1.06 0.40 0.12 0.14 0.13 63 0.732 0.033 -10.193 0.656 -0.122 -0.796 -0.071 0.223 -0.407 990.10 515
1554911933105.4 -0.15 -1.05 0.39 0.11 0.12 0.12 63 0.739 0.030 -10.238 0.569 0.035 -0.805 -0.069 0.222 -0.408 990.09 515
